Port,Service,Status,Banner
135,EPMAP,OPEN,
445,MICROSOFT-DS,OPEN,
903,VMWARE-AUTH,OPEN,"220 VMware Authentication Daemon Version 1.10: SSL Required, ServerDaemonProtocol:SOAP, MKSDisplayProtocol:VNC , , NFCSSL supported/t,"
913,APEX-MESH,OPEN,"220 VMware Authentication Daemon Version 1.0, ServerDaemonProtocol:SOAP, MKSDisplayProtocol:VNC , , ,"
5040,HTTP,OPEN,
14630,UNKNOWN,OPEN,
26822,UNKNOWN,OPEN,"{""Status"":""Error""}"
32683,UNKNOWN,OPEN,"{""Status"":""Error""}"
33683,UNKNOWN,OPEN,
49664,UNKNOWN,OPEN,
49665,UNKNOWN,OPEN,
49668,UNKNOWN,OPEN,
49669,UNKNOWN,OPEN,
49672,UNKNOWN,OPEN,
49712,UNKNOWN,OPEN,
52979,UNKNOWN,OPEN,
52980,UNKNOWN,OPEN,
52982,UNKNOWN,OPEN,
52983,UNKNOWN,OPEN,
54112,UNKNOWN,OPEN,
54113,UNKNOWN,OPEN,
54411,UNKNOWN,OPEN,
55089,UNKNOWN,OPEN,
55090,UNKNOWN,OPEN,
55098,UNKNOWN,OPEN,
57486,UNKNOWN,OPEN,
